"","Subject","Age","Gender","Date","TrialNumber","Mesh","Function","Name","Name_learnt","Task","SuccessTask","RTMovement","RTGrasping","RTAction","TrialBlock","RTMovementGrasping","RTGraspingAction","RTMovement.c","RTMovement.z","RTGrasping.c","RTGrasping.z","RTAction.c","RTAction.z","RTMovementGrasping.c","RTMovementGrasping.z","RTGraspingAction.c","RTGraspingAction.z"
"72",11,19,"Female",3102018,4,"controllerRenderer_A","BLACKHOLE","NoName2","No","MOVE","True",1.111113,1.911115,1.944448,1,0.8,0.033,0.592,2.687,0.233,0.371,-0.716,-0.327,-0.359,-0.592,-0.949,-0.491
"73",12,19,"Female",3102018,4,"controllerRenderer_E","CREATING","SNI","Yes","MOVE","True",0.3777778,1.66667,1.966671,1,1.289,0.3,-0.142,-0.644,-0.012,-0.019,-0.694,-0.317,0.13,0.215,-0.682,-0.353
"74",14,20,"Female",5102018,4,"controllerRenderer_G","SNOWING","NoName3","No","USE","True",0.4777778,1.588892,2.522222,1,1.111,0.933,-0.042,-0.19,-0.09,-0.143,-0.138,-0.063,-0.048,-0.079,-0.048,-0.025
"75",15,20,"Female",5102018,4,"controllerRenderer_I","BLACKHOLE","SNI","Yes","USE","True",0.3666667,1.922226,3.022218,1,1.556,1.1,-0.153,-0.694,0.244,0.388,0.362,0.165,0.397,0.655,0.118,0.061
"76",16,20,"Female",8102018,4,"controllerRenderer_G","GROWING","NoName2","No","MOVE","True",0.6333337,2.06667,2.111114,1,1.433,0.044,0.114,0.517,0.388,0.618,-0.549,-0.251,0.274,0.452,-0.937,-0.485
"77",17,20,"Female",8102018,4,"controllerRenderer_E","ANTIGRAVITY","SNI","Yes","MOVE","True",0.3666667,1.144446,1.17778,1,0.778,0.033,-0.153,-0.694,-0.534,-0.85,-1.483,-0.677,-0.381,-0.628,-0.949,-0.491
"78",20,18,"Female",9102018,4,"controllerRenderer_E","ANTIGRAVITY","SNI","Yes","MOVE","True",0.7666674,1.833337,3.199994,1,1.067,1.367,0.247,1.122,0.155,0.247,0.54,0.246,-0.092,-0.151,0.385,0.199
"79",21,18,"Female",9102018,4,"controllerRenderer_B","SNOWING","UNT","Yes","MOVE","True",0.9111122,1.66667,1.877781,1,0.756,0.211,0.392,1.778,-0.012,-0.019,-0.783,-0.357,-0.404,-0.664,-0.771,-0.399
"80",22,18,"Male",11102018,4,"controllerRenderer_C","CREATING","LUM","Yes","MOVE","True",0.5,1.677781,1.788892,1,1.178,0.111,-0.02,-0.089,-0.001,-0.001,-0.871,-0.398,0.019,0.032,-0.87,-0.451
"81",23,30,"Female",11102018,4,"controllerRenderer_C","BLACKHOLE","NoName1","No","USE","True",0.8888899,3.099995,5.744455,1,2.211,2.644,0.369,1.677,1.422,2.264,3.084,1.408,1.053,1.735,1.662,0.86
